datetime,lat,lng,stop_duration,subject_age,subject_height,subject_sex,officer_id_hash,type,violation,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,search_basis,reason_for_stop,area_risk,outcome
2014-03-10_10:30:00,-28.8071118,27.056433700000028,20.132105894588715,50.0,tall,male,596bd1105e,vehicular,investigative stop,,,,False,False,False,False,,investigative stop,very low,citation
2011-02-21_04:14:00,-26.236114899999997,28.105156000000008,20.604882631337908,37.0,short,male,2eef0cc1f8,vehicular,,True,True,False,False,True,True,True,other,,medium,arrest
2010-10-26_20:18:00,-26.233818499999998,28.074340000000007,28.533869494078626,47.0,tall,female,0e07d5dec6,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,medium,warning
2014-12-17_08:39:00,-26.0660745,28.02260559999999,21.605841254982995,37.0,short,male,1b55d714e1,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,citation
2014-09-12_09:21:00,-28.8071118,27.056433700000028,30.91034175874528,60.0,tall,male,41c8075306,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,very low,warning
2012-06-12_17:27:00,-26.066967799999986,28.018072800000027,22.485418463516186,26.0,tall,male,9a70a45e75,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,high,warning
2010-04-02_21:03:00,-27.335254,29.501556300000004,25.6296185255903,26.0,tall,female,eee7593f67,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,low,warning
2011-02-06_03:37:00,-26.2179991,27.808786000000026,24.613310554250745,31.0,medium,male,5db485cff3,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2011-09-29_17:20:00,-26.1880831,27.844171300000028,25.94086260039623,39.0,tall,male,21c82fd870,vehicular,seatbelt violation,,,,False,False,False,False,,seatbelt violation,high,citation
2015-04-06_11:28:00,-26.2373864,27.84461970000001,49.49674287803969,45.0,tall,male,c05e130f6a,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,citation
2010-03-17_00:13:00,-27.130115699999998,27.70056440000002,8.8126880306973,19.0,medium,female,3607f2fc8c,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2016-07-12_21:08:00,-26.209959599999998,30.076572999999982,20.587361292879407,42.0,tall,male,53d89d125a,vehicular,moving traffic violation,True,True,False,True,True,True,True,other,moving traffic violation,low,arrest
