datetime,lat,lng,precinct,stop_duration,subject_age,subject_height,subject_sex,officer_id_hash,type,violation,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,reason_for_stop,area_risk,outcome
2010-07-14_14:21:00,-26.3765347,27.402524500000027,1.0,21.738253389182223,21.0,medium,male,a773a4fff8,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,citation
2013-05-29_02:04:00,-26.177380399999997,28.063809700000007,5.0,14.872226046165293,47.0,tall,female,a48b0fbf57,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,medium,warning
2011-10-07_04:35:00,-26.602446399999998,27.769506700000008,8.0,32.22097121260126,61.0,tall,male,6f0e6c9ea2,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,low,citation
2010-08-24_20:27:00,-26.145177899999986,28.41238079999998,3.0,30.36355464306073,36.0,tall,male,80e2c428b5,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,medium,warning
2013-12-12_22:36:00,-26.3765347,27.402524500000027,1.0,22.258111034060942,33.0,tall,male,d40abdf0ec,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,warning
2012-07-10_13:22:00,-26.313551200000006,28.107585400000005,3.0,35.76012187064949,18.0,tall,female,d098ec755c,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,medium,citation
2016-03-30_06:39:00,-26.602446399999998,27.769506700000008,8.0,39.20319831704767,26.0,tall,female,3380b227a4,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,citation
2013-11-12_22:25:00,-26.2005483,28.015262000000007,5.0,25.22393034477572,26.0,medium,female,7bc663afd6,vehicular,vehicle equipment violation,False,False,False,False,True,True,True,vehicle equipment violation,medium,citation
2013-01-11_10:16:00,-26.126411399999995,27.991508900000028,2.0,25.28790370636807,42.0,tall,male,85402489a1,vehicular,seatbelt violation,,,,False,False,False,False,seatbelt violation,high,warning
2015-12-19_00:48:00,-26.279918099999996,28.12382890000002,3.0,36.39864026355453,27.0,medium,female,793daf204c,vehicular,safety violation,,,,False,False,False,False,safety violation,medium,warning
2018-01-04_08:42:00,-26.0735917,28.016627000000028,7.0,34.13206684235186,39.0,tall,female,22bb9207f7,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,high,warning
2010-08-03_10:25:00,-26.19123720000001,28.000641200000004,5.0,26.375328218184755,31.0,medium,male,0edd4e187a,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,medium,citation
2011-04-04_02:55:00,-27.530773100000005,32.45440620000001,8.0,21.50555862535987,41.0,tall,female,2511466c93,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,warning
